Thời gian,Tên,Check-in,Check-out
2025-05-08 14:52:57,A,2025-05-08 14:52:57,
2025-05-08 14:55:18,A,2025-05-08 14:55:18,
2025-05-08 14:55:24,A,2025-05-08 14:55:24,
2025-05-08 14:55:33,A,,2025-05-08 14:55:33
2025-05-08 14:57:15,A,,2025-05-08 14:57:15
2025-05-08 15:01:20,A,2025-05-08 15:01:20,
2025-05-08 15:01:31,A,,2025-05-08 15:01:31
2025-05-08 15:02:33,A,2025-05-08 15:02:33,
2025-05-08 15:04:05,A,2025-05-08 15:04:05,
2025-05-08 15:12:20,A,2025-05-08 15:12:20,
2025-05-08 15:13:47,A,2025-05-08 15:13:47,
2025-05-08 15:14:15,A,2025-05-08 15:14:15,
2025-05-08 15:14:29,A,,2025-05-08 15:14:29
2025-05-08 15:18:29,A,2025-05-08 15:18:29,
2025-05-08 15:35:00,A,2025-05-08 15:35:00,
2025-05-08 15:35:28,A,,2025-05-08 15:35:28
